mant 60 36 [('age', 40.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 69), ('interacting_ticks', 0)]
mant 60 47 [('age', 14.799999999998136), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 76), ('interacting_ticks', 1)]
mant 61 12 [('age', 386.7999999997992), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 31), ('interacting_ticks', 0)]
mant 61 14 [('age', 40.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 31), ('interacting_ticks', 0)]
mant 61 18 [('age', 14.799999999998136), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 92), ('interacting_ticks', 0)]
mant 61 22 [('age', 50.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', -1), ('interacting_ticks', 0)]
mant 61 24 [('age', 40.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 151), ('interacting_ticks', 2)]
mant 61 25 [('age', 127.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 50), ('interacting_ticks', 1)]
mant 61 34 [('age', 113.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 80), ('interacting_ticks', 2)]
mant 61 36 [('age', 158.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 39), ('interacting_ticks', 3)]
mant 61 38 [('age', 64.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 142), ('interacting_ticks', 0)]
mant 62 26 [('age', 442.7999999997992), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 99), ('interacting_ticks', 0)]
mant 63 8 [('age', 14.799999999998136), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 101), ('interacting_ticks', 1)]
mant 63 21 [('age', 14.799999999998136), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 151), ('interacting_ticks', 2)]
mant 63 24 [('age', 99.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 151), ('interacting_ticks', 2)]
mant 63 28 [('age', 99.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 103), ('interacting_ticks', 0)]
mant 63 41 [('age', 78.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 142), ('interacting_ticks', 2)]
mant 64 22 [('age', 57.80000000002656), ('bias', 0.2), ('holdness', 40), ('wobble', 0.1), ('hold_position_chance', 0.2), ('carrying_food', False), ('interacting_with_id', 19), ('interacting_ticks', 3)]
